callsign,ncdcid,wban,name,country,st,county,lat,lon,elev,utc,stntype,tz
KEWX,30001843.0,12971.0,AUSTIN SAN ANTONIO,UNITED STATES,TX,COMAL,29.704056,-98.028611,767.0,-6.0,NEXRAD,America/Chicago
KEYX,30001943.0,53114.0,EDWARDS,UNITED STATES,CA,SANTA BARBARA,35.09785,-117.56075,2873.0,-8.0,NEXRAD,America/Los_Angeles
KFCX,30001844.0,53831.0,ROANOKE,UNITED STATES,VA,FLOYD,37.0244,-80.273969,2965.0,-5.0,NEXRAD,America/New_York
KFDR,30001845.0,3981.0,ALTUS AFB,UNITED STATES,OK,TILLMAN,34.362194,-98.976667,1315.0,-6.0,NEXRAD,America/Chicago
KFDX,30001846.0,3022.0,CANNON AFB,UNITED STATES,NM,CURRY,34.634167,-103.61888,4698.0,-7.0,NEXRAD,America/Denver
KFFC,30001847.0,53819.0,ATLANTA,UNITED STATES,GA,FAYETTE,33.36355,-84.56595,972.0,-5.0,NEXRAD,America/New_York
KFSD,30001944.0,14944.0,SIOUX FALLS,UNITED STATES,SD,MINNEHAHA,43.587778,-96.729444,1495.0,-6.0,NEXRAD,America/Chicago
KFSX,30001848.0,53113.0,FLAGSTAFF,UNITED STATES,AZ,COCONINO,34.574333,-111.19843999999999,7514.0,-7.0,NEXRAD,America/Phoenix
KFTG,30001849.0,3018.0,DENVER FRONT RANGE AP,UNITED STATES,CO,ARAPAHOE,39.786639,-104.5458,5611.0,-7.0,NEXRAD,America/Denver
KFWS,30001850.0,3985.0,DALLAS,UNITED STATES,TX,TARRANT,32.573,-97.30315,777.0,-6.0,NEXRAD,America/Chicago
KGGW,30001851.0,94008.0,GLASGOW,UNITED STATES,MT,VALLEY,48.206361,-106.62468999999999,2384.0,-7.0,NEXRAD,America/Denver
KGJX,30001852.0,3025.0,GRAND JUNCTION,UNITED STATES,CO,MESA,39.062169,-108.21376000000001,10101.0,-7.0,NEXRAD,America/Denver
KGLD,30001853.0,23065.0,GOODLAND,UNITED STATES,KS,SHERMAN,39.366944000000004,-101.70026999999999,3716.0,-7.0,NEXRAD,America/Denver
KGRB,30001854.0,14898.0,GREEN BAY,UNITED STATES,WI,BROWN,44.498633,-88.111111,823.0,-6.0,NEXRAD,America/Chicago
KGRK,30001855.0,3992.0,FORT HOOD,UNITED STATES,TX,BELL,30.721833,-97.382944,603.0,-6.0,NEXRAD,America/Chicago
KGRR,30001856.0,94860.0,GRAND RAPIDS,UNITED STATES,MI,KENT,42.893889,-85.544889,875.0,-5.0,NEXRAD,America/Detroit
KGSP,30001857.0,3870.0,GREER,UNITED STATES,SC,SPARTANBURG,34.883306,-82.219833,1069.0,-5.0,NEXRAD,America/New_York
KGWX,30001858.0,53837.0,COLUMBUS AFB,UNITED STATES,MS,MONROE,33.896916999999995,-88.329194,590.0,-6.0,NEXRAD,America/Chicago
KGYX,30001859.0,54762.0,PORTLAND,UNITED STATES,ME,CUMBERLAND,43.891306,-70.256361,474.0,-5.0,NEXRAD,America/New_York
KHDX,30001945.0,3023.0,HOLLOMAN AFB,UNITED STATES,NM,DONA ANA,33.077,-106.12003,4270.0,-7.0,NEXRAD,America/Denver
KHGX,30001860.0,3980.0,HOUSTON,UNITED STATES,TX,GALVESTON,29.4719,-95.078733,115.0,-6.0,NEXRAD,America/Chicago
KHNX,30001861.0,53111.0,SAN JOAQUIN VALLEY,UNITED STATES,CA,KINGS,36.314181,-119.63213,340.0,-8.0,NEXRAD,America/Los_Angeles
KHPX,30001862.0,53839.0,FORT CAMPBELL,UNITED STATES,KY,TODD,36.736971999999994,-87.285583,613.0,-6.0,NEXRAD,America/Chicago
KHTX,30001863.0,53857.0,HUNTSVILLE,UNITED STATES,AL,JACKSON,34.930556,-86.083611,1859.0,-6.0,NEXRAD,America/Chicago
